END-PLACA,MAP,CUSTOM_LABEL
M1-001,1,N1-L01-1-DF-CORR FRENTE S PRIMA PR-TE-PE
M1-002,1,N1-L01-002-MZ-LOJA 011-TE--PE
M1-003,1,N1-L01-003-DF-ALIMENT LADO TERRA-TE-PE
M1-004,1,N1-L01-004-DF-ALIMENT LADO TERRA-TE-PE
M1-005,1,N1-L01-005-DF-SAGUAO DESEMB-TE-PE
M1-006,1,UNUSED
M1-007,1,N1-L01-007-DF-CIRCULACAO DESEMB-TE-PE
M1-008,1,N1-L01-008-DF-CIRCULACAO DESEMB-TE-PE
M1-009,1,N1-L01-009-DF-CIRCULACAO DESEMB-TE-PE
M1-010,1,N1-L01-010-DF-CIRCULACAO DESEMB-TE-PE
M1-011,1,N1-L01-011-DF-SAGUAO DESEMB -TE-PE
M1-012,1,N1-L01-012-DF-ALIMENT LADO TERRA-TE-PE
M1-013,1,N1-L01-013-MZ-ALIMENT LADO TERRA-TE-PE
M1-014,1,N1-L01-014-AM-CIRCULACAO DESEMB-TE-PE
M1-015,1,N1-L01-015-DF-CIRCULACAO DESEMB-TE-PE
M1-016,1,N1-L01-016-DF-WC FEM-TE-PE
M1-017,1,N1-L01-017-DF-WC FEM DEFIC-TE-PE
M1-018,1,N1-L01-018-DF-FRALDARIO-TE-PE
M1-019,1,N1-L01-019-DF-WC MAS DEFIC-TE-PE
M1-020,1,N1-L01-020-DF-BALCAO REST BAG-TE-PE
M1-021,1,N1-L01-021-DF-POLICIA MILITAR-TE-PE
M1-022,1,N1-L01-022-DF-CIRCULACAO WC-TE-PE
M1-023,1,N1-L01-023-DF-CIRCULACAO WC-TE-PE
M1-024,1,N1-L01-024-MR-ESC ROLANTE-TE-PE
M1-025,1,N1-L01-025-MR-ESC ROLANTE-TE-PE
M1-026,1,N1-L01-026-DF-ESC ROLANTE-TE-PE
M1-027,1,N1-L01-027-MZ-LOJA 005-TE-PE
M1-028,1,N1-L01-028-DF-BALCAO REST BAG-TE-PE
M1-029,1,N1-L01-029-DF- REST BAG-TE-PE
M1-030,1,N1-L01-030-DF-PM DORM -TE-PE
M1-031,1,N1-L01-031-DF-POLICIA MILITAR-TE-PE
M1-032,1,N1-L01-032-MZ-X-TE-PE
M1-033,1,N1-L01-033-DF-WC-POLICIA MILITAR-TE-PE
M1-034,1,N1-L01-034-DF-WC-POLICIA MILITAR-TE-PE
M1-035,1,N1-L01-035-DF-POLICIA MILITAR-TE-PE
M1-036,1,N1-L01-036-DF-POLICIA MILITAR-TE-PE
M1-037,1,N1-L01-037-DF-POLICIA MILITAR-TE-PE
M1-038,1,N1-L01-038-DF-POLICIA MILITAR-TE-PE
M1-039,1,N1-L01-039-DF-POLICIA MILITAR-TE-PE
M1-040,1,N1-L01-040-DF-POLICIA MILITAR-TE-PE
M1-041,1,N1-L01-041-DF-POLICIA MILITAR-TE-PE
M1-042,1,N1-L01-042-DF-POLICIA MILITAR-TE-PE
M1-043,1,N1-L01-043-DF-POLICIA MILITAR-TE-PE
M1-044,1,UNUSED
M1-045,1,UNUSED
M1-046,1,N1-L01-046-DF-POLICIA MILITAR-TE-PE
M1-047,1,N1-L01-047-DF-POLICIA MILITAR-TE-PE
M1-048,1,N1-L01-048-DF-POLICIA MILITAR-TE-PE
M1-049,1,N1-L01-049-DF-POLICIA MILITAR-TE-PE
M1-050,1,N1-L01-050-DF-POLICIA MILITAR-TE-PE
M1-051,1,N1-L01-051-DF-POLICIA MILITAR-TE-PE
M1-052,1,N1-L01-052-DF-WC FEM-ENFERMARIA-TE-PE
M1-053,1,N1-L01-053-DF-WC MAS-ENFERMARIA-TE-PE
M1-054,1,UNUSED
M1-055,1,N1-L01-055-DF-POLICIA MILITAR-TE-PE
M1-056,1,N1-L01-056-DF-CIRCULACAO-TE-PE
M1-057,1,N1-L01-057-DF-CIRCULACAO-TE-PE
M1-058,1,N1-L01-058-DF-CIRCULACAO-TE-PE
M1-059,1,N1-L01-059-DF-CIRCULACAO-TE-PE
M1-060,1,N1-L01-060-DF-CIRCULACAO-TE-PE
M1-061,1,N1-L01-61-ALARME FM 200 S PRIMARIA-TE-PE
M1-062,1,N1-L01-062-DF-SALA PRIMARIA-TE-PE
M1-063,1,N1-L01-63-MZ-TE-PE
M1-064,1,N1-L01-64-AM-CORREDOR- SAIDA EMERG-TE-PE
M1-065,1,N1-L01-65-DF-CORREDOR SAIDA EMERG-TE-PE
M1-066,1,UNUSED
M1-067,1,N1-L01-067-DF-CASA MAQUINAS-TE-PE
M1-068,1,N1-L01-068-DF-SALA TECNICA 03-TE-PE
M1-069,1,N1-L01-069-DF-EF-SALA TECNICA 03-TE-PE
M1-070,1,UNUSED
M1-071,1,N1-L01-069-DF-EP-SALA TECNICA 03-TE-PE
M1-072,1,UNUSED
M1-073,1,UNUSED
M1-074,1,N1-L01-074-DF-EF-SALA TECNICA 01-TE-PE
M1-075,1,N1-L01-075-DF-SALA TECNICA 01-TE-PE
M1-076,1,N1-L01-076-MZ-DESEMBARQUE-TE-PE
M1-077,1,N1-L01-077-AM-REST BAGAGEM-TE-PE
M1-078,1,N1-L01-078-DF-S TEC ELT PRIMARY -TE-PE
M1-079,1,N1-L01-79-DF-EF-S TEC ELT PRIMARY -TE-PE
M1-080,1,N1-L01-080-AM-REST BAGAGEM-TE-PE
M1-081,1,N1-L01-081-DF-SALA TECNICA 02-TE-PE
M1-082,1,N1-L01-082-DF-EF-SALA TECNICA 02-TE-PE
M1-083,1,N1-L01-083-AM-BHS001-TE-PE
M1-084,1,UNUSED
M1-085,1,UNUSED
M1-086,1,N1-L01-086-AM-BHS001-TE-PE
M1-087,1,UNUSED
M1-088,1,UNUSED
M1-089,1,UNUSED
M1-090,1,N1-L01-090-AM-BHS001-TE-PE
M1-091,1,UNUSED
M1-092,1,UNUSED
M1-093,1,UNUSED
M1-094,1,UNUSED
M1-095,1,UNUSED
M1-096,1,N1-L01-096-DF-WC FEM-TE-PE
M1-097,1,UNUSED
M1-098,1,N1-L01-098-MR-ALIMENT LADO TERRA-TE-PE
