END-PLACA,MAP,CUSTOM_LABEL,DEVICE_TYPE
M1-001,1,N2-L21-001-MR-DESEM INTERNACIONAL-2P-PN,
M1-002,1,N2-L21-002-AM -DESEM INTERNACIONAL-2P-PN,
M1-003,1,N2-L21-003-DF-ACESSO ESC DES INT-2P-PN,
M1-004,1,N2-L21-004-DF-SAIDA ESC DES INTE-2P-PN,
M1-005,1,N2-L21-005-DF-CORREDOR DES INTER-2P-PN,
M1-006,1,N2-L21-006-DF-CORREDOR DES INTER-2P-PN,
M1-007,1,N2-L21-007-DF-CORREDOR DES INTER-2P-PN,
M1-008,1,N2-L21-008-DF-CORREDOR DES INTER-2P-PN,
M1-009,1,N2-L21-009-DL-ACESSO GATE EMB INTER-2P-P,
M1-010,1,N2-L21-010-DF- ACESSO GATE 13-2P-PN,
M1-011,1,N2-L21-011-MR-2P-PN,
M1-012,1,N2-L21-012-DF-CORREDOR GATE 13-2P-PN,
M1-013,1,N2-L21-013-DF-CORREDOR GATE 13-2P-PN,
M1-014,1,N2-L21-014-DF-CORREDOR GATE 13-2P-PN,
M1-015,1,N2-L21-015-DL-ACESSO GATE 14-2P-PN,
M1-016,1,N2-L21-016-DF-ACESSO GATE 14-2P-PN,
M1-017,1,N2-L21-017-DF-CORREDOR GATE 14-2P-PN,
M1-018,1,N2-L21-018-DF-CORREDOR GATE 14-2P-PN,
M1-019,1,N2-L21-019-DL-EMB INTERNACIONAL-2P-PN,
M1-020,1,N2-L21-020-DF-CORREDOR GATE 15-2P-PN,
M1-021,1,N2-L21-021-DF-CORREDOR GATE 15-2P-PN,
M1-022,1,N2-L21-022-DF-CORREDOR GATE 15-2P-PN,
M1-023,1,N2-L21-023-AM-ACESSO GATE 15-2P-PN,
M1-024,1,N2-L21-024-DF-CORREDOR DES INTER-2P-PN,
M1-025,1,N2-L21-025-DL-EMB REVERSIVEL-2P-PN,
M1-026,1,N2-L21-026-DF-CORREDOR DES INTER-2P-PN,
M1-027,1,N2-L21-027-AM-CORREDOR DES INTER-2P-PN,
