Canal,Dispositivo,Descricao,Temp_Range,Simplex_Range,Media,Atual_Simplex,Atual_Perc,Pico_Simplex,Pico_Perc,Status,Tipo,Atual_Temp,Pico_Temp
M1,1,N1-L01-1-DF-CORR FRENTE S PRIMA PR-TE,,167,99,100,0%,105,4%,NOR,DF,,
M1,3,N1-L01-003-DF-ALIMENT LADO TERRA-TE-P,,154,86,86,0%,97,12%,NOR,DF,,
M1,4,N1-L01-004-DF-ALIMENT LADO TERRA-TE-P,,133,65,65,0%,65,0%,NOR,DF,,
M1,5,N1-L01-005-DF-SAGUAO DESEMB-TE-PE,,145,77,78,0%,78,0%,NOR,DF,,
M1,7,N1-L01-007-DF-CIRCULACAO DESEMB-TE-PE,,135,67,67,0%,70,4%,NOR,DF,,
M1,8,N1-L01-008-DF-CIRCULACAO DESEMB-TE-PE,,128,60,59,0%,60,0%,NOR,DF,,
M1,9,N1-L01-009-DF-CIRCULACAO DESEMB-TE-PE,,123,55,55,0%,66,4%,NOR,DF,,
M1,10,N1-L01-010-DF-CIRCULACAO DESEMB-TE-PE,,135,67,67,0%,67,0%,NOR,DF,,
M1,11,N1-L01-011-DF-SAGUAO DESEMB -TE-PE,,142,74,74,0%,74,0%,NOR,DF,,
M1,12,N1-L01-012-DF-ALIMENT LADO TERRA-TE-P,,141,73,73,0%,73,0%,NOR,DF,,
M1,15,N1-L01-015-DF-CIRCULACAO DESEMB-TE-PE,,152,84,85,0%,85,0%,NOR,DF,,
M1,16,N1-L01-016-DF-WC FEM-TE-PE,,149,81,81,0%,159,100%,NOR,DF,,
M1,17,N1-L01-017-DF-WC FEM DEFIC-TE-PE,,136,68,71,4%,255,100%,NOR,DF,,
M1,18,N1-L01-018-DF-FRALDARIO-TE-PE,,132,64,64,0%,202,100%,NOR,DF,,
M1,19,N1-L01-019-DF-WC MAS DEFIC-TE-PE,,141,73,72,0%,132,80%,NOR,DF,,
M1,20,N1-L01-020-DF-BALCAO REST BAG-TE-PE,,132,64,64,0%,64,0%,NOR,DF,,
M1,21,N1-L01-021-DF-POLICIA MILITAR-TE-PE,,129,61,61,0%,61,0%,NOR,DF,,
M1,22,N1-L01-022-DF-CIRCULACAO WC-TE-PE,,142,74,74,0%,74,0%,NOR,DF,,
M1,23,N1-L01-023-DF-CIRCULACAO WC-TE-PE,,148,80,80,0%,80,0%,NOR,DF,,
M1,26,N1-L01-026-DF-ESC ROLANTE-TE-PE,,130,62,63,0%,63,0%,NOR,DF,,
M1,28,N1-L01-028-DF-BALCAO REST BAG-TE-PE,,147,79,79,0%,79,0%,NOR,DF,,
M1,29,N1-L01-029-DF- REST BAG-TE-PE,,142,74,74,0%,91,20%,NOR,DF,,
M1,30,N1-L01-030-DF-PM DORM -TE-PE,,133,65,66,0%,66,0%,NOR,DF,,
M1,31,N1-L01-031-DF-POLICIA MILITAR-TE-PE,,127,59,61,0%,255,100%,NOR,DF,,
M1,33,N1-L01-033-DF-WC-POLICIA MILITAR-TE-P,57,187,,65,,82,,NOR,DT,20,26
M1,34,N1-L01-034-DF-WC-POLICIA MILITAR-TE-P,57,187,,68,,91,,NOR,DT,21,29
M1,35,N1-L01-035-DF-POLICIA MILITAR-TE-PE,,129,61,60,0%,61,0%,NOR,DF,,
M1,36,N1-L01-036-DF-POLICIA MILITAR-TE-PE,,122,54,55,0%,55,0%,NOR,DF,,
M1,37,N1-L01-037-DF-POLICIA MILITAR-TE-PE,,116,48,47,0%,50,0%,NOR,DF,,
M1,38,N1-L01-038-DF-POLICIA MILITAR-TE-PE,,146,78,78,0%,79,0%,NOR,DF,,
M1,39,N1-L01-039-DF-POLICIA MILITAR-TE-PE,,129,61,60,0%,68,4%,NOR,DF,,
M1,40,N1-L01-040-DF-POLICIA MILITAR-TE-PE,,141,73,73,0%,73,0%,NOR,DF,,
M1,41,N1-L01-041-DF-POLICIA MILITAR-TE-PE,,137,69,69,0%,69,0%,NOR,DF,,
M1,42,N1-L01-042-DF-POLICIA MILITAR-TE-PE,,136,68,68,0%,68,0%,NOR,DF,,
M1,43,N1-L01-043-DF-POLICIA MILITAR-TE-PE,,133,65,65,0%,87,28%,NOR,DF,,
M1,46,N1-L01-046-DF-POLICIA MILITAR-TE-PE,,150,82,83,0%,84,0%,NOR,DF,,
M1,47,N1-L01-047-DF-POLICIA MILITAR-TE-PE,,123,55,57,0%,63,8%,NOR,DF,,
M1,48,N1-L01-048-DF-POLICIA MILITAR-TE-PE,,132,64,64,0%,64,0%,NOR,DF,,
M1,49,N1-L01-049-DF-POLICIA MILITAR-TE-PE,,136,68,68,0%,68,0%,NOR,DF,,
M1,50,N1-L01-050-DF-POLICIA MILITAR-TE-PE,,131,63,64,0%,65,0%,NOR,DF,,
M1,51,N1-L01-051-DF-POLICIA MILITAR-TE-PE,,130,62,59,0%,105,64%,NOR,DF,,
M1,52,N1-L01-052-DF-WC FEM-ENFERMARIA-TE-PE,57,187,,68,,87,,NOR,DT,21,28
M1,53,N1-L01-053-DF-WC MAS-ENFERMARIA-TE-PE,57,187,,72,,86,,NOR,DT,23,27
M1,55,N1-L01-055-DF-POLICIA MILITAR-TE-PE,,149,81,82,0%,83,0%,NOR,DF,,
M1,56,N1-L01-056-DF-CIRCULACAO-TE-PE,,147,79,79,0%,83,4%,NOR,DF,,
M1,57,N1-L01-057-DF-CIRCULACAO-TE-PE,,129,61,61,0%,82,28%,NOR,DF,,
M1,58,N1-L01-058-DF-CIRCULACAO-TE-PE,,122,54,54,0%,255,100%,NOR,DF,,
M1,59,N1-L01-059-DF-CIRCULACAO-TE-PE,,119,51,51,0%,148,100%,NOR,DF,,
M1,60,N1-L01-060-DF-CIRCULACAO-TE-PE,,146,78,78,0%,79,0%,NOR,DF,,
M1,62,N1-L01-062-DF-SALA PRIMARIA-TE-PE,,142,74,75,0%,0,0%,NOR,DF,,
M1,65,N1-L01-65-DF-CORREDOR SAIDA EMERG-TE-,,136,68,68,0%,157,100%,NOR,DF,,
M1,67,N1-L01-067-DF-CASA MAQUINAS-TE-PE,,126,58,57,0%,58,0%,NOR,DF,,
M1,68,N1-L01-068-DF-SALA TECNICA 03-TE-PE,,156,88,89,0%,90,0%,NOR,DF,,
M1,69,N1-L01-069-DF-EF-SALA TECNICA 03-TE-P,,152,84,85,0%,85,0%,NOR,DF,,
M1,71,N1-L01-069-DF-EP-SALA TECNICA 03-TE-P,,153,85,85,0%,104,24%,NOR,DF,,
M1,74,N1-L01-074-DF-EF-SALA TECNICA 01-TE-P,,133,65,66,0%,66,0%,NOR,DF,,
M1,75,N1-L01-075-DF-SALA TECNICA 01-TE-PE,,141,73,73,0%,73,0%,NOR,DF,,
M1,78,N1-L01-078-DF-S TEC ELT PRIMARY -TE-P,,153,85,85,0%,86,0%,NOR,DF,,
M1,79,N1-L01-79-DF-EF-S TEC ELT PRIMARY -TE,,144,76,76,0%,77,0%,NOR,DF,,
M1,81,N1-L01-081-DF-SALA TECNICA 02-TE-PE,,143,75,76,0%,80,4%,NOR,DF,,
M1,82,N1-L01-082-DF-EF-SALA TECNICA 02-TE-P,,147,79,80,0%,80,0%,NOR,DF,,
M1,96,N1-L01-096-DF-WC FEM-TE-PE,,139,71,71,0%,255,100%,NOR,DF,,
M1,101,N1-L01-101-DF-BHS001-TE-PE,,136,68,68,0%,69,0%,NOR,DF,,
M1,102,N1-L01-102-DF-BHS001-TE-PE,,135,67,67,0%,67,0%,NOR,DF,,
