Canal,Dispositivo,Descricao,Temp_Range,Simplex_Range,Media,Atual_Simplex,Atual_Perc,Pico_Simplex,Pico_Perc,Status,Tipo,Atual_Temp,Pico_Temp
M1,3,N2-L21-003-DF-ACESSO ESC DES INT-2P-P,,137,69,70,0%,70,0%,NOR,DF,,
M1,4,N2-L21-004-DF-SAIDA ESC DES INTE-2P-P,,153,85,85,0%,85,0%,NOR,DF,,
M1,5,N2-L21-005-DF-CORREDOR DES INTER-2P-P,,148,80,80,0%,84,4%,NOR,DF,,
M1,6,N2-L21-006-DF-CORREDOR DES INTER-2P-P,,147,79,79,0%,79,0%,NOR,DF,,
M1,7,N2-L21-007-DF-CORREDOR DES INTER-2P-P,,160,92,93,0%,93,0%,NOR,DF,,
M1,8,N2-L21-008-DF-CORREDOR DES INTER-2P-P,,139,71,71,0%,71,0%,NOR,DF,,
M1,10,N2-L21-010-DF- ACESSO GATE 13-2P-PN,,136,68,68,0%,74,8%,NOR,DF,,
M1,12,N2-L21-012-DF-CORREDOR GATE 13-2P-PN,,143,75,73,0%,87,16%,NOR,DF,,
M1,13,N2-L21-013-DF-CORREDOR GATE 13-2P-PN,,135,67,69,0%,104,52%,NOR,DF,,
M1,14,N2-L21-014-DF-CORREDOR GATE 13-2P-PN,,144,76,76,0%,76,0%,NOR,DF,,
M1,16,N2-L21-016-DF-ACESSO GATE 14-2P-PN,,164,96,96,0%,102,4%,NOR,DF,,
M1,17,N2-L21-017-DF-CORREDOR GATE 14-2P-PN,,136,68,67,0%,83,20%,NOR,DF,,
M1,18,N2-L21-018-DF-CORREDOR GATE 14-2P-PN,,143,75,73,0%,79,4%,NOR,DF,,
M1,20,N2-L21-020-DF-CORREDOR GATE 15-2P-PN,,129,61,63,0%,81,28%,NOR,DF,,
M1,21,N2-L21-021-DF-CORREDOR GATE 15-2P-PN,,138,70,67,0%,88,24%,NOR,DF,,
M1,22,N2-L21-022-DF-CORREDOR GATE 15-2P-PN,,142,74,75,0%,91,24%,NOR,DF,,
M1,24,N2-L21-024-DF-CORREDOR DES INTER-2P-P,,144,76,74,0%,255,100%,NOR,DF,,
M1,26,N2-L21-026-DF-CORREDOR DES INTER-2P-P,,145,77,77,0%,81,4%,NOR,DF,,
M1,28,N2-L21-28-DF-CORREDOR DES INTER-2P-PN,,155,87,91,4%,91,4%,NOR,DF,,
M1,29,N2-L21-029-DF-CORREDOR DES INTER-2P-P,,146,78,78,0%,78,0%,NOR,DF,,
M1,31,N2-L21-031-DF-CORREDOR DES INTER-2P-P,,136,68,68,0%,68,0%,NOR,DF,,
M1,32,N2-L21-032-DF-CORREDOR DES INTER-2P-P,,133,65,65,0%,65,0%,NOR,DF,,
M1,33,N2-L21-033-DF-CORREDOR DES INTER-2P-P,,141,73,73,0%,75,0%,NOR,DF,,
M1,34,N2-L21-034-DF-CORREDOR DES INTER-2P-P,,129,61,62,0%,65,4%,NOR,DF,,
M1,35,N2-L21-035-DF-HAL ELEVADOR-2P-PN,,139,71,71,0%,75,0%,NOR,DF,,
M1,36,N2-L21-036-DF-CORREDOR GATE 14-2P-PN,,137,69,67,0%,91,28%,NOR,DF,,
M1,38,N2-L21-038-DF-CORREDOR DES INTER-2P-P,,154,86,86,0%,88,0%,NOR,DF,,
M1,39,N2-L21-039-DF-CORREDOR DES INTER-2P-P,,147,79,80,0%,80,0%,NOR,DF,,
M1,41,N2-L21-041-DF-CORREDOR DES INTER-2P-P,,145,77,77,0%,77,0%,NOR,DF,,
M1,42,N2-L21-042-DF-CORREDOR DES INTER-2P-P,,138,70,70,0%,70,0%,NOR,DF,,
M1,43,N2-L21-043-DF-CORREDOR DES INTER-2P-P,,144,76,76,0%,76,0%,NOR,DF,,
M1,47,N2-L21-047-DF-DEP ATRAS ELEVADOR-2P-P,,134,66,66,0%,69,0%,NOR,DF,,
M1,48,N2-L21-048-DF-DESEMB INTERNACIONAL-2P,,136,68,68,0%,68,0%,NOR,DF,,
M1,50,N2-L21-050-DF-CORREDOR DES INTER-2P-P,,145,77,77,0%,77,0%,NOR,DF,,
M1,51,N2-L21-051-DF-CORREDOR DES INTER-2P-P,,133,65,65,0%,65,0%,NOR,DF,,
M1,52,N2-L21-052-DF-CORREDOR DES INTER-2P-P,,146,78,78,0%,78,0%,NOR,DF,,
M1,54,N2-L21-054-DF-CORREDOR GATE 14-2P-PN,,138,70,69,0%,73,4%,NOR,DF,,
M1,55,N2-L21-55-DF-ACESSO ESCA DES INTER-2P,,144,76,82,8%,85,8%,NOR,DF,,
M1,57,N2-L21-057-DF-SALA AO LADO RAIO X-2P-,,160,92,91,0%,93,0%,NOR,DF,,
M1,100,N2-L21-100-DF-CORREDOR GATE 15-2P-PN,,139,71,71,0%,76,4%,NOR,DF,,
